,Prediction,Actual
2070,satisfied,dissatisfied
2078,satisfied,satisfied
2081,satisfied,satisfied
2098,satisfied,satisfied
2107,dissatisfied,satisfied
2123,satisfied,satisfied
2126,satisfied,satisfied
2130,satisfied,satisfied
2141,satisfied,dissatisfied
2156,dissatisfied,satisfied
2160,dissatisfied,satisfied
2183,dissatisfied,dissatisfied
2185,dissatisfied,dissatisfied
2186,satisfied,dissatisfied
2189,satisfied,satisfied
2236,satisfied,satisfied
2249,satisfied,satisfied
2252,satisfied,satisfied
2253,dissatisfied,dissatisfied
2283,dissatisfied,dissatisfied
2302,satisfied,satisfied
2304,satisfied,satisfied
2306,dissatisfied,dissatisfied
2321,satisfied,satisfied
2322,satisfied,satisfied
2324,satisfied,satisfied
2325,satisfied,satisfied
2326,satisfied,satisfied
2346,satisfied,satisfied
2367,satisfied,dissatisfied
2436,satisfied,satisfied
2443,dissatisfied,dissatisfied
2451,dissatisfied,satisfied
2460,satisfied,satisfied
2478,dissatisfied,dissatisfied
2480,dissatisfied,satisfied
2494,satisfied,satisfied
2505,dissatisfied,dissatisfied
2522,satisfied,satisfied
2523,dissatisfied,satisfied
2534,dissatisfied,dissatisfied
2549,satisfied,satisfied
2564,satisfied,dissatisfied
2587,satisfied,satisfied
2598,dissatisfied,dissatisfied
2630,dissatisfied,dissatisfied
2633,dissatisfied,dissatisfied
2641,satisfied,satisfied
2656,dissatisfied,satisfied
2658,dissatisfied,satisfied
2663,satisfied,dissatisfied
2667,dissatisfied,dissatisfied
2699,dissatisfied,satisfied
2710,dissatisfied,dissatisfied
2720,satisfied,dissatisfied
2737,satisfied,satisfied
2738,satisfied,satisfied
2741,satisfied,satisfied
2752,dissatisfied,satisfied
2758,dissatisfied,satisfied
2777,dissatisfied,dissatisfied
2805,dissatisfied,satisfied
2822,satisfied,satisfied
2827,satisfied,satisfied
2833,dissatisfied,dissatisfied
2835,satisfied,dissatisfied
2861,satisfied,dissatisfied
2862,dissatisfied,dissatisfied
2864,dissatisfied,satisfied
2884,satisfied,satisfied
2885,satisfied,satisfied
2897,dissatisfied,dissatisfied
2915,satisfied,satisfied
2917,dissatisfied,satisfied
2922,satisfied,satisfied
2928,dissatisfied,dissatisfied
2931,satisfied,dissatisfied
2932,satisfied,satisfied
2974,satisfied,satisfied
2981,satisfied,dissatisfied
2984,satisfied,satisfied
2995,satisfied,satisfied
3043,satisfied,satisfied
3064,satisfied,satisfied
3069,satisfied,satisfied
3107,dissatisfied,satisfied
3119,dissatisfied,dissatisfied
3124,satisfied,satisfied
3172,dissatisfied,satisfied
3179,dissatisfied,dissatisfied
3196,satisfied,satisfied
3197,satisfied,satisfied
3207,satisfied,satisfied
3214,dissatisfied,dissatisfied
3247,satisfied,satisfied
3249,dissatisfied,dissatisfied
3252,satisfied,satisfied
3281,satisfied,satisfied
3283,dissatisfied,dissatisfied
3292,satisfied,dissatisfied
3309,satisfied,satisfied
3351,dissatisfied,dissatisfied
3357,satisfied,satisfied
3383,dissatisfied,satisfied
3389,dissatisfied,dissatisfied
3438,satisfied,satisfied
3442,satisfied,satisfied
3458,dissatisfied,dissatisfied
3470,dissatisfied,satisfied
3472,satisfied,satisfied
3475,dissatisfied,satisfied
3480,satisfied,dissatisfied
3482,dissatisfied,dissatisfied
3497,satisfied,dissatisfied
3502,satisfied,satisfied
3507,dissatisfied,satisfied
3532,satisfied,satisfied
3580,satisfied,satisfied
3587,satisfied,satisfied
3591,satisfied,satisfied
3594,satisfied,satisfied
3595,dissatisfied,satisfied
3598,satisfied,satisfied
3605,dissatisfied,dissatisfied
3628,satisfied,satisfied
3636,satisfied,satisfied
3642,satisfied,satisfied
3646,dissatisfied,dissatisfied
3679,satisfied,satisfied
3718,satisfied,satisfied
3722,dissatisfied,satisfied
3723,satisfied,satisfied
3738,dissatisfied,dissatisfied
3749,satisfied,satisfied
3772,dissatisfied,dissatisfied
3794,dissatisfied,satisfied
3799,dissatisfied,satisfied
3802,dissatisfied,satisfied
3803,dissatisfied,satisfied
3812,dissatisfied,dissatisfied
3814,satisfied,dissatisfied
3838,satisfied,satisfied
3841,satisfied,satisfied
3845,dissatisfied,satisfied
3878,dissatisfied,satisfied
3880,satisfied,satisfied
3904,satisfied,satisfied
3918,dissatisfied,dissatisfied
3947,satisfied,satisfied
3948,satisfied,satisfied
3980,satisfied,satisfied
3992,satisfied,satisfied
4019,satisfied,dissatisfied
4038,dissatisfied,satisfied
4039,dissatisfied,satisfied
4042,dissatisfied,dissatisfied
4046,dissatisfied,satisfied
4048,satisfied,satisfied
4081,satisfied,satisfied
4094,satisfied,dissatisfied
4096,satisfied,satisfied
4107,satisfied,satisfied
4144,satisfied,satisfied
4160,satisfied,satisfied
4178,satisfied,dissatisfied
4197,satisfied,dissatisfied
4200,satisfied,dissatisfied
4211,dissatisfied,satisfied
4234,dissatisfied,satisfied
4241,dissatisfied,satisfied
4242,satisfied,satisfied
4258,satisfied,satisfied
4262,satisfied,satisfied
4269,dissatisfied,satisfied
4270,dissatisfied,dissatisfied
4287,satisfied,satisfied
4289,satisfied,satisfied
4291,satisfied,satisfied
4332,satisfied,satisfied
4344,satisfied,satisfied
4369,satisfied,satisfied
4373,satisfied,satisfied
4375,satisfied,dissatisfied
4380,dissatisfied,dissatisfied
4401,satisfied,satisfied
4403,dissatisfied,dissatisfied
4416,satisfied,satisfied
4421,satisfied,satisfied
4447,dissatisfied,dissatisfied
4454,satisfied,satisfied
4462,dissatisfied,dissatisfied
4467,dissatisfied,dissatisfied
4470,dissatisfied,satisfied
4505,dissatisfied,dissatisfied
4507,dissatisfied,satisfied
4517,dissatisfied,dissatisfied
4531,satisfied,satisfied
4562,satisfied,satisfied
4568,dissatisfied,satisfied
4572,dissatisfied,satisfied
4607,dissatisfied,dissatisfied
4618,satisfied,satisfied
4626,satisfied,satisfied
4628,satisfied,satisfied
4651,satisfied,satisfied
4662,dissatisfied,dissatisfied
4679,satisfied,satisfied
4709,satisfied,satisfied
4713,satisfied,satisfied
4735,satisfied,dissatisfied
4750,satisfied,satisfied
4789,dissatisfied,dissatisfied
4830,satisfied,satisfied
4836,dissatisfied,dissatisfied
4842,satisfied,satisfied
4857,satisfied,satisfied
4885,dissatisfied,satisfied
4891,satisfied,satisfied
4911,satisfied,satisfied
4916,satisfied,satisfied
4920,dissatisfied,satisfied
4922,satisfied,dissatisfied
4939,satisfied,satisfied
4949,dissatisfied,dissatisfied
4975,dissatisfied,dissatisfied
5014,dissatisfied,dissatisfied
5043,satisfied,satisfied
5055,dissatisfied,satisfied
5076,satisfied,satisfied
5102,satisfied,satisfied
5140,satisfied,satisfied
5142,satisfied,dissatisfied
5151,satisfied,satisfied
5152,satisfied,dissatisfied
5165,satisfied,satisfied
5185,satisfied,satisfied
5191,dissatisfied,satisfied
5193,dissatisfied,dissatisfied
5197,satisfied,satisfied
5200,dissatisfied,satisfied
5211,satisfied,satisfied
5212,satisfied,satisfied
5217,satisfied,dissatisfied
5218,satisfied,satisfied
5221,dissatisfied,dissatisfied
5226,dissatisfied,dissatisfied
5246,satisfied,satisfied
5247,dissatisfied,satisfied
5266,satisfied,satisfied
5279,dissatisfied,dissatisfied
5281,satisfied,dissatisfied
5283,satisfied,satisfied
5285,dissatisfied,satisfied
5298,satisfied,satisfied
5310,dissatisfied,dissatisfied
5325,satisfied,satisfied
5326,dissatisfied,satisfied
5338,dissatisfied,dissatisfied
5350,satisfied,satisfied
5359,satisfied,satisfied
5387,satisfied,satisfied
5393,satisfied,satisfied
5394,dissatisfied,dissatisfied
5397,dissatisfied,dissatisfied
5399,dissatisfied,dissatisfied
5419,dissatisfied,satisfied
5421,satisfied,satisfied
5459,satisfied,satisfied
5464,satisfied,dissatisfied
5506,satisfied,dissatisfied
5525,satisfied,satisfied
5553,satisfied,satisfied
5560,satisfied,satisfied
5591,dissatisfied,dissatisfied
5592,satisfied,dissatisfied
5642,satisfied,satisfied
5644,dissatisfied,satisfied
5645,dissatisfied,satisfied
5648,dissatisfied,satisfied
5649,satisfied,satisfied
5708,satisfied,satisfied
5728,dissatisfied,dissatisfied
5766,satisfied,satisfied
5769,satisfied,satisfied
5783,satisfied,dissatisfied
5790,satisfied,dissatisfied
5796,satisfied,satisfied
5809,satisfied,satisfied
5820,dissatisfied,satisfied
5823,dissatisfied,satisfied
5835,satisfied,dissatisfied
5872,dissatisfied,dissatisfied
5892,dissatisfied,satisfied
5903,satisfied,satisfied
5920,satisfied,dissatisfied
5943,satisfied,satisfied
5945,satisfied,satisfied
5967,satisfied,satisfied
5994,dissatisfied,dissatisfied
6052,satisfied,satisfied
6058,dissatisfied,dissatisfied
6097,satisfied,satisfied
6110,satisfied,satisfied
6115,dissatisfied,dissatisfied
6137,dissatisfied,satisfied
6139,satisfied,satisfied
6149,satisfied,dissatisfied
6150,satisfied,dissatisfied
6191,dissatisfied,satisfied
6193,dissatisfied,dissatisfied
6257,dissatisfied,satisfied
6263,satisfied,satisfied
6265,dissatisfied,dissatisfied
6267,dissatisfied,dissatisfied
6283,dissatisfied,satisfied
6295,dissatisfied,satisfied
6303,satisfied,satisfied
6304,satisfied,satisfied
6317,satisfied,dissatisfied
6333,satisfied,satisfied
6371,dissatisfied,satisfied
6373,satisfied,satisfied
6377,dissatisfied,dissatisfied
6379,dissatisfied,dissatisfied
6401,satisfied,satisfied
6414,dissatisfied,satisfied
6418,satisfied,satisfied
6424,satisfied,satisfied
6427,dissatisfied,satisfied
6432,satisfied,satisfied
6433,satisfied,satisfied
6442,dissatisfied,dissatisfied
6471,dissatisfied,dissatisfied
6479,satisfied,dissatisfied
6530,satisfied,satisfied
6532,dissatisfied,satisfied
6533,satisfied,satisfied
6537,dissatisfied,dissatisfied
6539,dissatisfied,dissatisfied
6544,satisfied,satisfied
6561,satisfied,satisfied
6567,satisfied,satisfied
6575,dissatisfied,dissatisfied
6600,satisfied,satisfied
6602,satisfied,satisfied
6606,satisfied,satisfied
6610,dissatisfied,satisfied
6621,satisfied,satisfied
6630,dissatisfied,dissatisfied
6632,satisfied,dissatisfied
6641,dissatisfied,dissatisfied
6651,satisfied,satisfied
6659,satisfied,satisfied
6680,satisfied,satisfied
6688,satisfied,satisfied
6722,satisfied,satisfied
6797,satisfied,satisfied
6799,satisfied,satisfied
6801,satisfied,satisfied
6802,dissatisfied,satisfied
6803,satisfied,satisfied
6804,satisfied,dissatisfied
6812,dissatisfied,dissatisfied
6865,satisfied,satisfied
6917,satisfied,satisfied
6922,satisfied,satisfied
6929,satisfied,satisfied
6959,satisfied,satisfied
6977,satisfied,dissatisfied
6979,dissatisfied,satisfied
7029,dissatisfied,dissatisfied
7030,dissatisfied,dissatisfied
7048,satisfied,satisfied
7059,dissatisfied,satisfied
7060,dissatisfied,dissatisfied
7091,satisfied,satisfied
7103,dissatisfied,satisfied
7125,dissatisfied,satisfied
7129,satisfied,satisfied
7133,dissatisfied,satisfied
7137,dissatisfied,dissatisfied
7147,satisfied,satisfied
7157,satisfied,satisfied
7166,satisfied,satisfied
7169,dissatisfied,dissatisfied
7170,satisfied,dissatisfied
7186,satisfied,satisfied
7195,dissatisfied,satisfied
7205,satisfied,dissatisfied
7211,dissatisfied,satisfied
7231,dissatisfied,dissatisfied
7235,dissatisfied,satisfied
7257,dissatisfied,satisfied
7267,satisfied,dissatisfied
7275,dissatisfied,dissatisfied
7300,satisfied,satisfied
7334,dissatisfied,satisfied
7337,satisfied,satisfied
7345,dissatisfied,satisfied
7347,satisfied,dissatisfied
7350,dissatisfied,dissatisfied
7371,satisfied,satisfied
7374,satisfied,satisfied
7375,dissatisfied,satisfied
7376,satisfied,satisfied
7377,dissatisfied,dissatisfied
7380,dissatisfied,satisfied
7434,satisfied,satisfied
7438,dissatisfied,dissatisfied
7440,dissatisfied,satisfied
7464,satisfied,satisfied
7469,dissatisfied,dissatisfied
7479,satisfied,dissatisfied
7491,satisfied,satisfied
7501,dissatisfied,satisfied
7503,dissatisfied,dissatisfied
7505,satisfied,dissatisfied
7526,satisfied,satisfied
7527,dissatisfied,dissatisfied
7556,satisfied,satisfied
7577,satisfied,satisfied
7599,satisfied,satisfied
7601,satisfied,satisfied
7609,satisfied,satisfied
7636,satisfied,satisfied
7638,satisfied,dissatisfied
7658,satisfied,satisfied
7666,satisfied,dissatisfied
7667,dissatisfied,dissatisfied
7672,dissatisfied,satisfied
7673,satisfied,satisfied
7731,satisfied,satisfied
7784,satisfied,dissatisfied
7799,satisfied,satisfied
7809,satisfied,dissatisfied
7828,satisfied,satisfied
7849,satisfied,dissatisfied
7854,dissatisfied,dissatisfied
7866,satisfied,satisfied
7872,satisfied,satisfied
7910,satisfied,satisfied
7939,satisfied,satisfied
7981,satisfied,satisfied
7991,dissatisfied,dissatisfied
8018,satisfied,satisfied
8021,satisfied,satisfied
8028,dissatisfied,dissatisfied
8029,dissatisfied,dissatisfied
8031,dissatisfied,dissatisfied
8032,satisfied,dissatisfied
8033,dissatisfied,dissatisfied
8042,satisfied,satisfied
8051,dissatisfied,satisfied
8058,satisfied,satisfied
8064,satisfied,dissatisfied
8065,dissatisfied,dissatisfied
8123,satisfied,satisfied
8124,satisfied,satisfied
8139,dissatisfied,dissatisfied
8188,dissatisfied,satisfied
8194,dissatisfied,satisfied
8210,dissatisfied,satisfied
8229,satisfied,satisfied
8233,satisfied,satisfied
8234,satisfied,satisfied
8241,dissatisfied,dissatisfied
8259,dissatisfied,satisfied
8261,satisfied,satisfied
8364,satisfied,satisfied
8375,dissatisfied,satisfied
8395,satisfied,satisfied
8398,dissatisfied,satisfied
8404,dissatisfied,dissatisfied
8410,dissatisfied,dissatisfied
8425,satisfied,satisfied
8433,dissatisfied,dissatisfied
8434,dissatisfied,dissatisfied
8445,satisfied,satisfied
8458,satisfied,satisfied
8466,dissatisfied,dissatisfied
8481,satisfied,satisfied
8485,satisfied,satisfied
8515,satisfied,satisfied
8516,satisfied,satisfied
8549,satisfied,satisfied
8556,satisfied,satisfied
8578,dissatisfied,satisfied
8611,satisfied,satisfied
8624,satisfied,satisfied
8634,satisfied,satisfied
8644,satisfied,satisfied
8671,dissatisfied,satisfied
8747,dissatisfied,dissatisfied
8749,dissatisfied,dissatisfied
8752,dissatisfied,dissatisfied
8765,satisfied,satisfied
8792,satisfied,satisfied
8802,satisfied,satisfied
8810,satisfied,dissatisfied
8850,dissatisfied,dissatisfied
8852,dissatisfied,satisfied
8855,dissatisfied,dissatisfied
8868,satisfied,satisfied
8876,satisfied,satisfied
8878,satisfied,satisfied
8880,satisfied,satisfied
8913,satisfied,satisfied
8914,satisfied,satisfied
8932,satisfied,satisfied
8952,satisfied,dissatisfied
8955,dissatisfied,dissatisfied
8957,satisfied,dissatisfied
8982,satisfied,satisfied
8983,satisfied,satisfied
8993,dissatisfied,dissatisfied
9017,satisfied,satisfied
9019,satisfied,satisfied
9023,satisfied,satisfied
9045,satisfied,satisfied
9074,satisfied,satisfied
9075,dissatisfied,satisfied
9091,dissatisfied,satisfied
9112,dissatisfied,dissatisfied
9128,dissatisfied,satisfied
9130,satisfied,satisfied
9133,dissatisfied,dissatisfied
9171,dissatisfied,dissatisfied
9186,satisfied,satisfied
9188,satisfied,satisfied
9196,satisfied,satisfied
9231,satisfied,satisfied
9241,satisfied,satisfied
9328,satisfied,satisfied
9332,satisfied,satisfied
9335,satisfied,dissatisfied
9336,dissatisfied,dissatisfied
9384,satisfied,satisfied
9413,dissatisfied,satisfied
9438,satisfied,satisfied
9475,satisfied,dissatisfied
9478,dissatisfied,satisfied
9504,satisfied,satisfied
9532,satisfied,satisfied
9546,satisfied,satisfied
9557,dissatisfied,dissatisfied
9564,satisfied,satisfied
9569,dissatisfied,satisfied
9588,dissatisfied,satisfied
9590,satisfied,satisfied
9617,satisfied,dissatisfied
9619,satisfied,dissatisfied
9650,dissatisfied,dissatisfied
9714,satisfied,satisfied
9715,dissatisfied,satisfied
9722,satisfied,satisfied
9724,dissatisfied,dissatisfied
9725,dissatisfied,dissatisfied
9729,satisfied,satisfied
9733,satisfied,satisfied
9741,satisfied,satisfied
9748,satisfied,satisfied
9756,satisfied,satisfied
9796,dissatisfied,dissatisfied
9825,dissatisfied,satisfied
9829,dissatisfied,dissatisfied
9832,dissatisfied,dissatisfied
9842,dissatisfied,dissatisfied
9857,satisfied,satisfied
9888,satisfied,satisfied
9904,dissatisfied,satisfied
9918,satisfied,satisfied
9942,satisfied,satisfied
9946,dissatisfied,dissatisfied
9949,satisfied,dissatisfied
9974,dissatisfied,satisfied
9977,satisfied,satisfied
9984,dissatisfied,satisfied
9985,dissatisfied,satisfied
10001,satisfied,satisfied
10011,dissatisfied,dissatisfied
10043,satisfied,satisfied
10050,satisfied,satisfied
10072,satisfied,satisfied
10085,satisfied,satisfied
10101,dissatisfied,satisfied
10105,dissatisfied,satisfied
10121,satisfied,satisfied
10126,dissatisfied,satisfied
10131,satisfied,satisfied
10184,satisfied,satisfied
10218,satisfied,satisfied
10230,dissatisfied,dissatisfied
10281,satisfied,satisfied
10293,dissatisfied,dissatisfied
10316,dissatisfied,dissatisfied
10339,satisfied,satisfied
10348,satisfied,satisfied
10351,dissatisfied,satisfied
10371,satisfied,satisfied
10394,satisfied,satisfied
10409,satisfied,satisfied
10425,dissatisfied,dissatisfied
10426,dissatisfied,dissatisfied
10428,satisfied,dissatisfied
10443,satisfied,satisfied
10444,satisfied,satisfied
10446,satisfied,satisfied
10456,dissatisfied,satisfied
10468,dissatisfied,satisfied
10469,dissatisfied,satisfied
10478,satisfied,satisfied
10481,satisfied,satisfied
10501,dissatisfied,satisfied
10527,satisfied,satisfied
10583,dissatisfied,satisfied
10590,satisfied,dissatisfied
10601,dissatisfied,satisfied
10618,satisfied,satisfied
10621,dissatisfied,satisfied
10643,satisfied,satisfied
10647,satisfied,satisfied
10663,satisfied,satisfied
10677,satisfied,satisfied
10688,satisfied,satisfied
10691,dissatisfied,dissatisfied
10694,dissatisfied,satisfied
10708,satisfied,satisfied
10710,satisfied,satisfied
10748,dissatisfied,satisfied
10751,satisfied,satisfied
10755,dissatisfied,dissatisfied
10777,satisfied,dissatisfied
10803,satisfied,dissatisfied
10813,satisfied,satisfied
10816,dissatisfied,satisfied
10820,satisfied,satisfied
10826,satisfied,dissatisfied
10827,dissatisfied,dissatisfied
10851,satisfied,dissatisfied
10878,dissatisfied,dissatisfied
10880,satisfied,dissatisfied
10908,dissatisfied,dissatisfied
10914,satisfied,dissatisfied
10920,satisfied,satisfied
10925,satisfied,satisfied
10927,satisfied,satisfied
10954,satisfied,satisfied
10960,satisfied,satisfied
10962,satisfied,satisfied
10973,dissatisfied,satisfied
10984,dissatisfied,satisfied
10990,dissatisfied,satisfied
11009,satisfied,satisfied
11036,satisfied,satisfied
11084,satisfied,satisfied
11110,satisfied,satisfied
11136,satisfied,satisfied
11141,satisfied,dissatisfied
11143,dissatisfied,dissatisfied
11157,satisfied,satisfied
11195,satisfied,satisfied
11230,satisfied,satisfied
11249,satisfied,satisfied
11257,dissatisfied,dissatisfied
11263,dissatisfied,dissatisfied
11281,satisfied,satisfied
11310,satisfied,satisfied
11318,satisfied,satisfied
11330,satisfied,satisfied
11344,satisfied,satisfied
11382,satisfied,satisfied
11391,dissatisfied,dissatisfied
11398,dissatisfied,satisfied
11404,satisfied,satisfied
11409,satisfied,satisfied
11419,satisfied,satisfied
11445,satisfied,satisfied
11446,dissatisfied,dissatisfied
11453,dissatisfied,dissatisfied
11472,satisfied,satisfied
11473,dissatisfied,dissatisfied
11474,dissatisfied,satisfied
11487,satisfied,satisfied
11500,satisfied,satisfied
11527,satisfied,satisfied
11548,satisfied,dissatisfied
11550,satisfied,satisfied
11555,satisfied,satisfied
11558,dissatisfied,satisfied
11585,satisfied,satisfied
11591,satisfied,satisfied
11593,dissatisfied,satisfied
11595,dissatisfied,dissatisfied
11623,dissatisfied,dissatisfied
11639,dissatisfied,satisfied
11646,dissatisfied,satisfied
11656,satisfied,satisfied
11658,dissatisfied,satisfied
11667,dissatisfied,dissatisfied
11755,satisfied,satisfied
11759,satisfied,satisfied
11762,dissatisfied,dissatisfied
11767,satisfied,dissatisfied
11779,satisfied,satisfied
11865,satisfied,satisfied
11881,dissatisfied,satisfied
11890,dissatisfied,dissatisfied
11901,satisfied,satisfied
11926,satisfied,satisfied
11933,dissatisfied,dissatisfied
11939,dissatisfied,satisfied
11947,dissatisfied,satisfied
11969,satisfied,satisfied
11979,satisfied,satisfied
11990,satisfied,satisfied
11995,satisfied,satisfied
12015,satisfied,satisfied
12033,satisfied,satisfied
12050,satisfied,dissatisfied
12058,satisfied,satisfied
12063,satisfied,satisfied
12066,dissatisfied,satisfied
12068,satisfied,satisfied
12076,dissatisfied,dissatisfied
12132,dissatisfied,dissatisfied
12135,dissatisfied,dissatisfied
12159,dissatisfied,dissatisfied
12161,dissatisfied,dissatisfied
12168,satisfied,satisfied
12186,dissatisfied,dissatisfied
12209,satisfied,satisfied
12210,satisfied,satisfied
12214,satisfied,dissatisfied
12245,dissatisfied,satisfied
12249,satisfied,dissatisfied
12269,dissatisfied,satisfied
12295,satisfied,satisfied
12319,dissatisfied,dissatisfied
12325,satisfied,satisfied
12355,satisfied,satisfied
12369,dissatisfied,dissatisfied
12379,satisfied,satisfied
12395,satisfied,dissatisfied
12396,satisfied,satisfied
12399,satisfied,satisfied
12407,satisfied,satisfied
12408,satisfied,satisfied
12413,satisfied,satisfied
12418,dissatisfied,dissatisfied
12441,satisfied,satisfied
12446,dissatisfied,satisfied
12447,dissatisfied,dissatisfied
12460,satisfied,satisfied
12465,satisfied,dissatisfied
12468,satisfied,dissatisfied
12470,satisfied,satisfied
12484,dissatisfied,satisfied
12486,satisfied,satisfied
12497,satisfied,dissatisfied
12503,satisfied,satisfied
12550,satisfied,satisfied
12557,dissatisfied,dissatisfied
12559,dissatisfied,dissatisfied
12595,dissatisfied,dissatisfied
12606,dissatisfied,satisfied
12642,dissatisfied,satisfied
12660,satisfied,satisfied
12677,dissatisfied,satisfied
12697,satisfied,satisfied
12709,dissatisfied,satisfied
12743,dissatisfied,satisfied
12747,satisfied,satisfied
12765,satisfied,satisfied
12766,satisfied,satisfied
12783,satisfied,satisfied
12786,satisfied,satisfied
12822,dissatisfied,satisfied
12825,dissatisfied,satisfied
12827,satisfied,dissatisfied
12837,satisfied,satisfied
12850,satisfied,satisfied
12865,dissatisfied,satisfied
12871,dissatisfied,dissatisfied
12883,satisfied,satisfied
12890,dissatisfied,satisfied
12893,satisfied,satisfied
12917,satisfied,satisfied
12920,satisfied,satisfied
12930,dissatisfied,dissatisfied
12947,satisfied,satisfied
12976,dissatisfied,dissatisfied
13017,satisfied,satisfied
13020,satisfied,dissatisfied
13043,satisfied,satisfied
13056,satisfied,satisfied
13083,satisfied,dissatisfied
13094,satisfied,satisfied
13164,satisfied,satisfied
13174,dissatisfied,satisfied
13180,dissatisfied,satisfied
13182,satisfied,satisfied
13218,satisfied,dissatisfied
13228,dissatisfied,dissatisfied
13262,satisfied,dissatisfied
13269,satisfied,satisfied
13276,satisfied,satisfied
